net_id,design,fanout,bbox_xy_um2,compact_gnd_estimate_fF,gnd_gold,gnd_pred,cpl_gold,cpl_pred,dominant_layer,gnd_rel_err
intel22_nova_f3::n_143854,intel22_nova_f3,1.0,0.2679149135449732,0.07858166181847351,0.020963450893759727,0.06831615641713143,0.2405797392129898,0.15968656837940215,M2,2.2588220691025334
intel22_nova_f3::n_124962,intel22_nova_f3,1.0,0.0579593982481716,0.03991192564137454,0.009467150084674358,0.03082372210919857,0.11337555944919586,0.07386835515499116,M2,2.2558607219184923
intel22_nova_f3::ext_frame_RAM1_data[25],intel22_nova_f3,94.0,23.56478860275798,1.1290698072226368,0.22537316381931305,0.7337228536605835,1.738384485244751,1.461581015586853,M2,2.255591043877905
intel22_nova_f3::FE_RN_1451_0,intel22_nova_f3,1.0,0.1382419235215999,0.05711123042411341,0.019215980544686317,0.062218084931373596,0.1691254824399948,0.14493295550346375,M3,2.2378303457732422
intel22_nova_f3::n_129685,intel22_nova_f3,1.0,0.664274602856767,0.13100336560008013,0.04215380921959877,0.13570798486471175,0.41601768136024475,0.261318975687027,M2,2.2193528266388887
intel22_nova_f3::reconstruction_DF_top_DF_reg_ctrl/n_775,intel22_nova_f3,7.0,0.579947865330818,0.10575017405740285,0.04419824853539467,0.1422139436006546,0.29835253953933716,0.17350464761257173,M2,2.2176375379845057
intel22_nova_f3::ext_frame_RAM1_data[9],intel22_nova_f3,117.0,20.78389120707377,1.0675401850443669,0.23563076555728912,0.7512381672859192,1.8899883031845093,2.091606068611145,M4,2.1882006813039445
intel22_nova_f3::ext_frame_RAM1_data[23],intel22_nova_f3,82.0,86.112599175636,1.3164388585369458,0.26446399092674255,0.8416214227676392,2.034369468688965,1.6183893918991088,M2,2.182366793371016
intel22_nova_f3::FE_RN_1813_0,intel22_nova_f3,1.0,0.1622435262187762,0.06733951663009141,0.021812619641423225,0.0690373420715332,0.21160922944545746,0.13867709636688233,M2,2.165018379563541
intel22_nova_f3::n_122567,intel22_nova_f3,257.0,300.5218977882725,3.042656150326144,0.7587252259254456,2.390845537185669,6.377354145050049,4.812454795837402,M2,2.151134897708805
intel22_nova_f3::n_122632,intel22_nova_f3,78.0,44.48685610700075,1.1270920242363625,0.3313017189502716,1.0354191303253173,2.6298599243164062,1.5249615430831909,M2,2.1253056386367066
intel22_nova_f3::n_122865,intel22_nova_f3,108.0,63.06428664372848,1.0976288255030362,0.41426509618759155,1.2833613872528076,2.053913116455078,1.8110744953155518,M2,2.097923042668464
