label,n,mape_mean,mape_median,mape_p90,mape_p99
final_pipe::direct_xgb::seed4,3169,9.907536838635318,6.962802847253959,20.37572967396909,55.276149437567454
final_pipe::direct_xgb::seed3,3169,9.932824455273083,6.989491082338004,20.65877413187539,56.93919011970964
resmlp_v2::resmlp_v2::seed1,3169,10.55297721602671,7.6735789335498525,21.95518012062341,55.61918763627112
resmlp_v2::resmlp_v2::seed2,3169,10.602437146653463,7.628250738197728,22.2498359011197,56.175088265588556
resmlp_v2::resmlp_v2::seed3,3169,10.651604382999732,7.655757881950796,22.338698080679112,57.421233256201525
resmlp_v2::resmlp_v2::seed0,3169,10.725765176684463,7.760683314178244,21.918423085964132,57.11036584273473
resmlp_v2::resmlp_v2::seed4,3169,10.841367156494654,7.8328564877903855,22.93182125055473,54.324491310204195
mlp_hand_v2::mlp_hand_v2::seed3,3169,11.45493121346861,8.324050074449902,24.155596904549537,59.795873289003396
mlp_hand_v2::mlp_hand_v2::seed1,3169,11.48297983535239,8.099020142037839,24.1282678803458,60.15610678046381
mlp_hand_v2::mlp_hand_v2::seed4,3169,11.588435145704494,8.261267444520701,24.482428928632576,61.1962976370106
mlp_hand_v2::mlp_hand_v2::seed0,3169,11.682561388304263,8.288296654302558,24.94741002581302,60.00619815655774
mlp_hand_v2::mlp_hand_v2::seed2,3169,11.78132408704906,8.477179560754415,24.88635510494212,59.637042153791946
