net_name,wirelen_M4,wirelen_M2,wirelen_M3,n_via_v3,n_via_v2,n_via_v1,wirelen_M5,n_via_v4,wirelen_M1,wirelen_M6,wirelen_M7,wirelen_M8,n_via_v5,n_via_v6,n_via_v7,R_gold,R_pred_analytic,ape,bias_signed,R_pred_analytic_cal,ape_cal,bias_signed_cal,q,R_v7,ape_v7
i_tv80_core_add_1284_21_n_397,0.0,0.072,1.44,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,83.50049300000002,69.9568256,16.219865192891753,-16.219865192891753,81.84485626141164,1.9827867825743066,-1.9827867825743066,Q2,87.5011,4.79111782010673
i_tv80_core_add_1284_21_n_400,0.0,0.612,3.6,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,115.158213,106.566536,7.460759225223479,-7.460759225223479,124.6757946260579,8.264787528491684,8.264787528491684,Q2,124.74,8.320541583951108
i_tv80_core_add_1284_21_n_403,0.0,0.504,0.63,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,73.81057799999999,64.63277120000001,12.434270329111886,-12.434270329111886,75.61606495536451,2.44610868020098,2.44610868020098,Q1_short,72.9785,1.1273153828980933
i_tv80_core_add_1284_21_n_405,0.0,1.152,0.72,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,103.221038,86.0576488,16.62780139839322,-16.62780139839322,100.68175386493013,2.4600451460969257,-2.4600451460969257,Q2,108.567,5.1791399346323175
i_tv80_core_add_1284_21_n_406,0.0,1.872,0.72,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,112.48432000000003,95.5947688,15.015027161119011,-15.015027161119011,111.83955310543533,0.5732060206833242,-0.5732060206833242,Q2,97.732,13.115001273066348
i_tv80_core_add_1284_21_n_407,0.0,1.476,1.17,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,124.93284600000001,109.5547008,12.309129018000602,-12.309129018000602,128.17174968753812,2.592515732442461,2.592515732442461,Q3,115.578,7.487899539245275
i_tv80_core_add_1284_21_n_408,0.0,3.2220000000000004,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,86.65312299999998,77.52091200000001,10.53881347126978,-10.53881347126978,90.69433676381024,4.663667763953831,4.663667763953831,Q2,85.3936,1.4535229157291578
i_tv80_core_add_1284_21_n_409,0.0,1.386,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,65.565878,53.201256,18.858318346625357,-18.858318346625357,62.241948700521995,5.069602361578996,-5.069602361578996,Q1_short,61.3751,6.3917057589009865
i_tv80_core_add_1284_21_n_410,0.0,1.368,0.63,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,119.242212,100.75991520000001,15.499793646900802,-15.499793646900802,117.8824325678955,1.1403507275632296,-1.1403507275632296,Q2,101.193,15.136596090652862
i_tv80_core_add_1284_21_n_411,0.0,1.044,0.54,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,98.04783900000001,82.17234160000001,16.191583171965675,-16.191583171965675,96.13620156766542,1.9496986897738628,-1.9496986897738628,Q2,91.7425,6.430880133931359
