net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
A[13],2.32125,469.7456450000001,368.10444500000006,1.2420000000000002,0.6280000000000001,1.1960000000000002,2,3.0,0.0,26.47,3.0,0.0,400.3489954889552,14.773239571182158,-14.773239571182158,8.75961997387865,501.9881954889553,6.86383169959036,6.86383169959036,Q4
A[12],1.81492,434.3599389999999,345.7872389999999,2.5839999999999996,0.6280000000000001,16.131999999999998,2,3.0,0.0,9.1,2.0,0.0,379.6103631689552,12.60465593514247,-12.60465593514247,9.781484205944139,468.1810631689552,7.786428059369284,7.786428059369284,Q4
A[11],1.87473,421.6036379999998,333.0309379999999,3.5659999999999994,0.6280000000000001,11.843000000000002,2,3.0,0.0,11.260000000000002,2.0,0.0,365.64710564895523,13.272307757231594,-13.272307757231594,9.79373503399716,454.2178056489552,7.735741513918201,7.735741513918201,Q4
A[10],1.83262,442.9183919999998,341.277192,1.4220000000000002,0.6280000000000001,11.528,2,3.0,0.0,14.41,3.0,0.0,375.1938802889552,15.290516929142253,-15.290516929142253,9.938164367267527,476.8330802889552,7.6570964090728975,7.6570964090728975,Q4
A[9],2.89836,512.1867550000001,397.47705500000006,1.392,0.628,0.9440000000000001,2,3.0,0.0,27.919999999999998,4.0,0.0,418.8309074889552,18.226915592740166,-18.226915592740166,5.372348471525006,533.5386074889552,4.16876310847889,4.16876310847889,Q4
A[8],1.72118,402.5200269999998,327.01582699999994,1.594,0.628,14.116,2,2.0,0.0,10.360000000000001,2.0,0.0,356.5885359689552,11.410982795905603,-11.410982795905603,9.043204189916866,432.09073596895524,7.3463944612513545,7.3463944612513545,Q4
A[7],2.62809,486.3744609999999,397.80176099999994,2.074,0.6280000000000001,1.0150000000000001,2,3.0,0.0,28.45,2.0,0.0,436.2999507689551,10.295464553811097,-10.295464553811097,9.677732364024195,524.8706507689551,7.914928281761741,7.914928281761741,Q4
A[6],3.47614,585.756761,497.1840610000001,5.764,0.6280000000000001,8.434999999999999,2,3.0,0.0,24.49,2.0,0.0,530.9031619689551,9.36456950789593,-9.36456950789593,6.782015678687462,619.4738619689551,5.756160784451475,5.756160784451475,Q4
A[5],2.29839,492.970498,391.329298,15.265000000000002,0.6280000000000001,1.072,2,2.0,13.46,1.428,2.0,2.0,428.10249699623915,13.15859696816195,-13.15859696816195,9.396996131947974,529.7416969962392,7.4591074203063465,7.4591074203063465,Q4
A[4],3.18316,519.7492600000002,431.1765600000001,1.4280000000000002,0.628,1.61,2,3.0,0.0,30.16,2.0,0.0,458.69155692895515,11.74753054406369,-11.74753054406369,6.381375863510539,547.2622569289551,5.29351343933707,5.29351343933707,Q4
